109000000535,1,52.91945773,-1.47686788,Gower Street,Derby
109000001308,1,52.89117619,-1.52370034,Kelvedon Drive,Littleover
109000001330,0,52.922868,-1.47966774,The Strand,Derby
109000008650,1,52.92614145,-1.38575104,Pheasant Field Drive,Spondon
109000008651,1,52.92599049,-1.38611018,Pheasant Field Drive,Spondon
109000008728,0,52.94481833,-1.49596774,Beeley Close,Allestree
109000008729,1,52.94715493,-1.5000779,Scarsdale Avenue,Allestree
109000008730,1,52.94697665,-1.50043713,Scarsdale Avenue,Allestree
109000008731,1,52.94523491,-1.50310613,Lane End NE-bound,Allestree
109000008732,1,52.94465138,-1.50329139,Lane End,Allestree
109000008733,0,52.94513914,-1.50385131,Lane End,Allestree
109000008734,1,52.94174908,-1.50359246,Haskey Close,Allestree
109000008735,1,52.94015879,-1.50378921,Markeaton Lane,Allestree
109000008736,1,52.93949162,-1.50332069,Markeaton Lane (Opposite),Allestree
109000008737,1,52.9408542,-1.50241228,Amber Road (Opposite),Allestree
109000008738,1,52.94135178,-1.5010227,Amber Road,Allestree
109000008739,1,52.9428842,-1.49988901,Birchover Way,Allestree
109000008740,1,52.94313545,-1.49978195,Birchover Way,Allestree
109000008741,1,52.94418698,-1.49759715,Park Farm Shops (Opposite),Allestree
109000008742,1,52.94415913,-1.49738913,Park Farm Shops (Outside),Allestree
109000008743,0,52.94756486,-1.49709667,Clifton Road,Allestree
109000008744,0,52.9493317,-1.49613855,Harewood Road,Allestree
109000008745,1,52.95342269,-1.50060105,Woodlands School (Outside),Allestree
109000008746,1,52.95323486,-1.50082648,Woodlands School (Opposite),Allestree
109000008747,1,52.95211942,-1.50278913,Askerfield Avenue,Allestree
109000008748,1,52.95158945,-1.5028845,Askerfield Avenue (Opposite),Allestree
109000008749,1,52.9500521,-1.50284259,Hardwick Avenue,Allestree
109000008750,1,52.94901014,-1.50088997,Haddon Drive (Opposite),Allestree
109000008751,1,52.94888897,-1.49986444,Haddon Drive ,Allestree
109000008752,0,52.94750831,-1.50504458,Menin Road,Allestree
109000008753,0,52.94770644,-1.50513162,Menin Road,Allestree
109000008754,0,52.94936745,-1.50680935,Quarn Drive,Allestree
109000008755,0,52.95034866,-1.50714051,Quarn Drive,Allestree
109000008756,0,52.95206763,-1.50762704,Crabtree Hill,Allestree
109000008757,0,52.95239105,-1.50757872,Crabtree Hill,Allestree
109000008758,0,52.94219411,-1.48148956,Darley Park Road,Darley Abbey
109000008759,0,52.94062333,-1.48409748,Mileash Lane,Darley Abbey
109000008760,1,52.94002153,-1.48420879,Mileash Lane 276,Darley Abbey
109000008761,1,52.93886164,-1.48414818,Broadway,Darley Abbey
109000008762,1,52.94064286,-1.48445437,Mileash Lane (Opposite) 284,Darley Abbey
109000008763,1,52.94250394,-1.48452154,St Benedicts School (Outside),Darley Abbey
